video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=jRm6WCmIrGM&pp=ygULc2VhdHRsZSwgd2E%3D,/@CityGeek,City Geek,"Seattle Overview | An informative introduction to Seattle, Washington",470K,2 years,"Seattle is arguably the most beautiful city in America. I lived there for a couple years as a child, which really sparked my interest in ...",2026-01-30 07:00:43.446934
/watch?v=HY_OxIITp78&pp=ygULc2VhdHRsZSwgd2E%3D,/@Polychronisfilm,Polychronis Film,[4K] SEATTLE 2026 🇺🇸 2 Hour Drone Aerial Relaxation Film | Washington USA United States of America,68K,2 years,Seattle 2026 is an impressive and beautifully located city in the northwest of the United States of America (USA) at the Canadian ...,2026-01-30 07:00:43.450997
/watch?v=NnrVSgNKius&pp=ygULc2VhdHRsZSwgd2E%3D,/@AdventuresofMattandNat,Adventures of Matt and Nat,"How to Spend One Day in Seattle, Washington | Top Things to Do, See, & Eat in the “Emerald City”!",107K,1 year,Start fresh any day of the year with our sponsor BetterHelp. Click https://betterhelp.com/mattandnat for a discount on your first ...,2026-01-30 07:00:43.457938
/watch?v=av_NQkxRnPc&pp=ygULc2VhdHRsZSwgd2E%3D,/@IslandHopperTV,Island Hopper TV,Best Things To Do in Seattle Washington 2026 4K,177K,8 months,In this best things to do in Seattle Washington travel guide we show you all around this Pacific Northwest Gem. We show you 25 ...,2026-01-30 07:00:43.460048
/watch?v=BSuIwG2nDkI&pp=ygULc2VhdHRsZSwgd2E%3D,/@TheDetourDuo,The Detour Duo,We went to the Seattle Most Tourists Miss,79K,4 months,"This isn't the Seattle you usually see in travel guides. In this video, we explore the hidden side of Seattle, Washington, parts that ...",2026-01-30 07:00:43.464000
/watch?v=Xn6-FyVdjqA&pp=ygULc2VhdHRsZSwgd2E%3D,/@worldwildhearts,World Wild Hearts,"SEATTLE, WA | 10 INCREDIBLE Things to Do in & Around Seattle",634K,3 years,"Seattle is located in the northwest of Washington and is the State's largest city. It's nicknamed the ""Emerald City"" because the ...",2026-01-30 07:00:43.469797
/watch?v=ZyKzRc0MssM&pp=ygULc2VhdHRsZSwgd2E%3D,/@AdventureEveryDay,AdventureEveryDay,Spokane to Seattle - Full Road Trip Drive Across Washington and the Cascade Mountains,18K,12 days,In this video we make the drive across Washington state from Spokane to Seattle on I-90. The route begins in the high desert of ...,2026-01-30 07:00:43.475176
/watch?v=eP_matCcDrg&pp=ygULc2VhdHRsZSwgd2E%3D,/@monicachurchrealtor,Monica Church Seattle Real Estate,7 Things I Wish I Knew Before Moving To Seattle (from California!),260K,2 years,Interested in buying or selling in the Seattle/Bellevue area? Get in touch with me at: https://monica-church-real-estate.com/ or ...,2026-01-30 07:00:43.481301
/shorts/ALaeGo6f4XE,/@WhereTheLocalsRoam,Where The Locals Roam - 4K Walks,☔️Rainy Days in Seattle #seattle #washington #pnw,74K,3 years,pacificnorthwest #rain #seattle.,2026-01-30 07:00:43.482776
/shorts/mD06KdfTRYE,/@george_pnw,George M,Seattle Washington’s best kept secret 💀🤯,29K,4 months,Did you know there's a secret city beneath seattle? + follow @george.pnw for more in / near seattle ‼️ + follow ...,2026-01-30 07:00:43.487919
/watch?v=sCKv4gn-blA&pp=ygULc2VhdHRsZSwgd2E%3D,/@TheTravelDocket,The Travel Docket,Seattle Washington City Drive 4K - Emerald City Driving Tour,8K,4 months,Relax as we drive around and explore beautiful Seattle Washington. The 4K driving tour begins relatively close to Lumen field ...,2026-01-30 07:00:43.490273
/shorts/44HUiqAKvdY,/@george_pnw,George M,trying the USA’s MOST VIRAL ice cream in Seattle 🤯🙈,2.2M,3 months,"part 1: viral food of seattle ⤵️ + follow @george.pnw for more in / near seattle ‼️   + follow @living.inseattle, @thiccc.eats and ...",2026-01-30 07:00:43.494044
/watch?v=wqffXo6euV8&pp=ygULc2VhdHRsZSwgd2HSBwkJkQoBhyohjO8%3D,/@camdendavid,Camden David,23 Tips I Wish I Knew Before Visiting Seattle,104K,1 year,"Every Tuesday, I share a travel tip you'll actually use — like advice from a friend who travels nonstop ...",2026-01-30 07:00:43.495712
/watch?v=92ISlO9U-84&pp=ygULc2VhdHRsZSwgd2E%3D,/@Expedia,Expedia,Seattle Vacation Travel Guide | Expedia,3.1M,12 years,Seattle – an evergreen city no stranger to fun and flair! Follow our trip through Seattle and get some tips and inspiration to plan ...,2026-01-30 07:00:43.498441
/watch?v=sO5-oFuDPEA&pp=ygULc2VhdHRsZSwgd2E%3D,/@ThroughMyLens,Through My Lens,"22 Things to Do in Seattle, Washington",1.7M,7 years,"Seattle is a fun city to visit in the Pacific Northwest and it is full of amazing adventures, shopping, and restaurants. I have been ...",2026-01-30 07:00:43.504826
/watch?v=XoeD0O92L04&pp=ygULc2VhdHRsZSwgd2E%3D,/@IslandHopperTV,Island Hopper TV,Seattle Washington Travel Guide: Best Things To Do in Seattle,260K,4 years,"This is a Seattle Washington travel guide from the summer. In this Seattle tour we show you around Pike Place Market, King Street ...",2026-01-30 07:00:43.509302
/shorts/yHCy1Gh7V2c,/@IndiasBestFacts,India's Best Facts,"Seattle, Washington, USA 🇺🇸 in 4k",203K,2 years,viral #travel #trending #IndiasBestFacts #IndiasBestFactsSeason2 #ibf #ibfseason2 #LocationLegacy #seattle #usa #welcome ...,2026-01-30 07:00:52.201874
/watch?v=0N8OccCguNQ&pp=ygULc2VhdHRsZSwgd2E%3D,/@TheTravelDocket,The Travel Docket,Driving Tour of Seattle Washington 4K - Jet City Drive,5.2K,3 months,"Let's explore Seattle Washington as we drive around on a beautiful, relaxing summer day. The 4K driving tour begins at the ...",2026-01-30 07:00:52.204337
/watch?v=XIeCx9bxBBc&t=117s&pp=ygULc2VhdHRsZSwgd2E%3D,/@SharingtheRoad,Sharing the Road,Top 10 Things to Do in Seattle | Seattle Travel Guide,395K,3 years,"... Seattle Travel Guide This video is the ultimate travel guide covering the best things to do, see and eat in Seattle Washington.",2026-01-30 07:00:52.206469
/watch?v=MizGoYFVdzQ&pp=ygULc2VhdHRsZSwgd2E%3D,/@unclecoolie,Unclecoolie Productions,"Washington, DC to Seattle, WA: A Complete Road Trip",2.7M,7 years,"This video begins in Washington, DC around dawn on May 3, 2018 and concludes at SeaTac Airport in Sea-Tac, WA, just south of ...",2026-01-30 07:00:52.208944
